,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
78,B6159,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
79,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
80,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Serious
81,B6157,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
82,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Serious
83,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
84,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
85,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
86,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
87,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
88,A1(M),Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
89,A1(M),Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
90,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
91,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
92,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
93,A639,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
94,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Slight
95,A650,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
96,A61,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and underPedal cycle,Slight
97,M621,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
98,B1271,Wet/Damp,Darkness: Street lights present and lit,Fog or mist (if hazard),Car,Slight
99,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
100,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
101,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
102,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
103,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
104,A653,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
105,A653,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
