,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
522,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
523,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
524,A653,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
525,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
526,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
527,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
528,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
529,A64,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
530,A653,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
531,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
532,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
533,A653,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
534,A653,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
535,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Slight
536,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Slight
537,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
538,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
539,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
540,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
541,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
542,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
543,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
544,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
545,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
546,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
547,A660,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
548,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
549,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
550,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
551,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
552,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
553,B6157,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Slight
554,A65,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
555,A643,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Slight
556,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
557,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
558,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
559,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
560,A642,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
561,A642,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
562,B1217,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
563,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
564,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
565,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
566,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
567,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
568,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
569,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
570,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
571,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
572,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
573,A6120,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
574,A65,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
575,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
576,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
577,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
578,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
579,A656,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
580,A656,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
581,A656,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
582,A656,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
583,A656,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
584,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
585,M621,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
586,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
587,M1,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
588,A650,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Slight
589,B6154,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
590,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
591,U,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Slight
592,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
593,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
594,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
595,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
596,A647,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
597,U,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Slight
598,A62,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
599,A653,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
600,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
601,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
602,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
603,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
604,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
605,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Slight
606,A6120,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
607,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
608,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
609,A660,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
610,A64,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
611,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
612,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
613,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Slight
614,A6120,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
615,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
616,M62,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
617,A58,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
618,A58,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
619,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
620,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
621,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
622,A65,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
623,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
624,A6120,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
625,B6159,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle0,Slight
626,A647,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
627,A647,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
628,A6110,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
629,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
630,B6157,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
631,B6157,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
632,B6157,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
633,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
634,B6137,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
635,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
636,A659,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and underPedal cycle,Fatal
637,A654,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
638,A654,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
639,A654,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
640,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
641,B6157,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Slight
642,B6157,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Slight
643,B6157,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
644,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Slight
645,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Slight
646,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
647,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
648,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
649,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Slight
650,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
651,A63,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Serious
652,A63,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Slight
653,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
654,A6120,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
655,A63,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Serious
656,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
657,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
658,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
659,A639,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Slight
660,A639,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Slight
661,A660,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Slight
662,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
663,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
664,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
665,A6120,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
666,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
667,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
668,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Serious
669,B6154,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Slight
670,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
671,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
672,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
673,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
674,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
675,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
676,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
677,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Slight
678,U,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
679,U,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
680,U,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
681,U,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
682,U,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Slight
683,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Slight
684,M62,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
685,A61,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
686,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
687,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
688,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
689,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
690,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
691,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
692,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Fatal
693,A58,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
694,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
695,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
696,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Serious
697,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
698,A650,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
699,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Slight
700,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Serious
701,A58(M),Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
702,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
703,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
704,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
705,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
706,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
707,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Serious
708,B6451,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
709,A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Slight
710,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
711,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
712,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
713,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
714,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
715,A61,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
716,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
717,A657,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
718,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
719,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
720,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
721,A653,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
722,A58,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Slight
723,A64,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
724,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
725,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Serious
726,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
727,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Slight
728,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
729,A647,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
730,A647,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
731,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
732,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
733,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
734,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
735,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
736,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
737,M1,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
738,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Slight
739,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
740,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
741,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
742,A658,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
743,A61,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Slight
744,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
745,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
746,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
747,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
748,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
749,B6157,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
750,A642,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
751,A642,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
752,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Serious
753,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Slight
754,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Slight
755,B6137,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
756,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
757,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
758,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
759,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
760,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
761,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
762,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle0,Slight
763,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Serious
764,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
765,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
766,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
767,A6110,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
768,A6110,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
769,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
770,A65,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
771,B6159,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Slight
772,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
773,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
774,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Slight
775,A653,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
776,A63,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Pedal cycleCar,Slight
777,A653,Wet/Damp,Daylight: Street lights present,Raining without high winds,Taxi/Private hire car,Slight
778,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycle,Slight
779,B6154,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cyclePedal cycle,Slight
780,U,Wet/Damp,Daylight: Street lights present,Raining with high winds,Car,Slight
781,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
782,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
783,A58,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Slight
784,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
785,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
786,A654,Wet/Damp,Daylight: Street lights present,Raining without high winds,Taxi/Private hire car,Slight
787,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
788,A6110,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
789,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Serious
790,A660,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Pedal cycle,Slight
791,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
792,A639,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Serious
793,A639,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
794,A639,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
795,A639,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
796,A639,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
797,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
798,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycleCar,Slight
799,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
800,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
801,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
802,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
803,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
804,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
805,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycleCar,Slight
806,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
807,A654,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Serious
808,A61,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Slight
809,A660,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Serious
810,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Slight
811,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Serious
812,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Serious
813,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
814,A6120,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cyclePedal cycle,Slight
815,A642,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
816,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
817,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
818,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
819,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
820,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Serious
821,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
822,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
823,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
824,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
825,M62,Dry,Daylight: Street lights present,Fine without high winds,CarTaxi/Private hire car,Serious
826,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
827,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Serious
828,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Slight
829,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
830,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
831,A647,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
832,A647,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
833,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
834,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
835,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
836,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
837,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
838,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Serious
839,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Slight
840,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
841,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
842,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
843,A654,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Slight
844,A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
845,B6153,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
846,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
847,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
848,A64,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle0,Slight
849,A660,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Serious
850,A657,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
851,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Slight
852,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Slight
853,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
854,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
855,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
856,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
857,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
858,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
859,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
