1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
3.0,1.0,1.0,2.0,14.0,Slight
21.0,3.0,1.0,2.0,11.0,Slight
21.0,3.0,1.0,2.0,11.0,Slight
1.0,3.0,4.0,3.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
18.0,1.0,1.0,2.0,11.0,Slight
18.0,1.0,1.0,2.0,11.0,Slight
18.0,1.0,2.0,2.0,11.0,Slight
18.0,1.0,2.0,2.0,11.0,Serious
18.0,1.0,2.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,1.0,Slight
1.0,3.0,4.0,2.0,11.0,Serious
1.0,1.0,1.0,2.0,11.0,Slight
10.0,3.0,1.0,2.0,14.0,Serious
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
14.0,1.0,4.0,2.0,15.0,Serious
1.0,1.0,4.0,2.0,15.0,Slight
3.0,1.0,4.0,2.0,11.0,Slight
3.0,1.0,1.0,2.0,4.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
6.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,1.0,2.0,14.0,Slight
2.0,3.0,1.0,2.0,14.0,Slight
20.0,1.0,4.0,2.0,12.0,Slight
20.0,1.0,4.0,2.0,12.0,Slight
14.0,1.0,1.0,2.0,14.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
4.0,1.0,1.0,2.0,11.0,Slight
6.0,3.0,1.0,3.0,11.0,Slight
1.0,1.0,1.0,2.0,11.0,Serious
1.0,1.0,3.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
2.0,3.0,1.0,5.0,14.0,Serious
1.0,1.0,1.0,2.0,16.0,Slight
1.0,1.0,1.0,2.0,1.0,Serious
10.0,3.0,1.0,5.0,11.0,Slight
10.0,3.0,1.0,5.0,11.0,Slight
16.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,3.0,2.0,11.0,Serious
1.0,1.0,3.0,2.0,11.0,Slight
6.0,1.0,3.0,2.0,14.0,Slight
6.0,1.0,1.0,2.0,14.0,Slight
1.0,1.0,1.0,2.0,11.0,Serious
1.0,3.0,1.0,3.0,14.0,Slight
1.0,1.0,1.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
1.0,3.0,3.0,2.0,11.0,Slight
1.0,4.0,1.0,2.0,11.0,Slight
3.0,3.0,1.0,2.0,11.0,Slight
3.0,1.0,4.0,2.0,11.0,Slight
1.0,3.0,2.0,2.0,11.0,Slight
1.0,3.0,2.0,2.0,5.0,Slight
4.0,3.0,4.0,2.0,11.0,Slight
4.0,3.0,4.0,2.0,11.0,Slight
1.0,4.0,2.0,2.0,11.0,Slight
1.0,3.0,4.0,2.0,11.0,Slight
14.0,1.0,1.0,2.0,14.0,Slight
1.0,1.0,3.0,2.0,14.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
1.0,1.0,4.0,2.0,11.0,Slight
19.0,3.0,4.0,2.0,4.0,Slight
1.0,3.0,1.0,2.0,11.0,Slight
1.0,3.0,1.0,2.0,11.0,Serious
5.0,3.0,1.0,2.0,14.0,Slight
6.0,3.0,1.0,2.0,11.0,Serious
6.0,3.0,1.0,2.0,11.0,Slight
6.0,3.0,1.0,2.0,11.0,Slight
6.0,3.0,1.0,2.0,11.0,Slight
6.0,3.0,1.0,2.0,11.0,Slight
6.0,3.0,1.0,2.0,11.0,Slight
17.0,3.0,4.0,2.0,11.0,Slight
